t,z(t),v(t),a(t) (added)
0.02,2,0,-50
0.04,1.98,-1,0
0.06,1.96,-1,0
0.08,1.94,-1,0
0.09999999,1.92,-1,0
0.12,1.9,-1,0
0.14,1.88,-1,0
0.16,1.86,-1,0
0.18,1.84,-1,0
0.2,1.82,-1,0
0.22,1.8,-1,0
0.24,1.78,-1,0
0.26,1.76,-1,0
0.28,1.74,-1,0
0.3,1.72,-1,0
0.32,1.7,-1,0
0.34,1.68,-1,0
0.36,1.66,-1,0
0.38,1.64,-1,0
0.4,1.62,-1,0
0.42,1.6,-1,0
0.4400001,1.58,-1,0
0.4600001,1.56,-1,0
0.4800001,1.54,-1,0
0.5000001,1.52,-1,0
0.52,1.5,-1,0
0.54,1.48,-1,0
0.56,1.460001,-1,0
0.58,1.440001,-1,0
0.6,1.420001,-1,0
0.6199999,1.400001,-1,0
0.6399999,1.380001,-1,0
0.6599999,1.360001,-1,0
0.6799999,1.340001,-1,0
0.6999999,1.320001,-1,0
0.7199998,1.300001,-1,0
0.7399998,1.280001,-1,0
0.7599998,1.260001,-1,0
0.7799998,1.240001,-1,0
0.7999998,1.220001,-1,0
0.8199998,1.200001,-1,0
0.8399997,1.180001,-1,0
0.8599997,1.160001,-1,0
0.8799997,1.140001,-1,0
0.8999997,1.120001,-1,0
0.9199997,1.100001,-1,0
0.9399996,1.080001,-1,0
0.9599996,1.060001,-1,0
0.9799996,1.040001,-1,0
0.9999996,1.020001,-1,0
1.02,1.000001,-1,0
1.04,0.980001,-1,0
1.06,0.960001,-1,0
1.08,0.940001,-1,0
1.1,0.920001,-1,0
1.12,0.900001,-1,0
1.14,0.8800011,-1,0
1.159999,0.8600011,-1,0
1.179999,0.8400011,-1,0
1.199999,0.8200011,-1,0
1.219999,0.8000011,-1,0
1.239999,0.7800012,-1,0
1.259999,0.7600012,-1,0
1.279999,0.7400012,-1,0
1.299999,0.7200012,-1,0
1.319999,0.7000012,-1,0
1.339999,0.6800013,-1,0
1.359999,0.6600013,-1,0
1.379999,0.6400013,-1,0
1.399999,0.6200013,-1,0
1.419999,0.6000013,-1,0
1.439999,0.5800014,-1,0
1.459999,0.5600014,-1,0
1.479999,0.5400014,-1,0
1.499999,0.5200014,-1,0
1.519999,0.5000014,-1,0
1.539999,0.4800014,-1,0
1.559999,0.4600014,-1,0
1.579999,0.4400014,-1,0
1.599999,0.4200014,-1,0
1.619999,0.4000014,-1,0
1.639999,0.3800014,-1,0
1.659999,0.3600014,-1,0
1.679999,0.3400013,-1,0
1.699999,0.3200013,-1,0
1.719999,0.3000013,-1,0
1.739999,0.2800013,-1,0
1.759999,0.2600013,-1,0
1.779999,0.2400013,-1,0
1.799999,0.2200013,-1,0
1.819999,0.2000013,-1,0
1.839999,0.1800013,-1,0
1.859999,0.1600013,-1,0
1.879999,0.1400013,-1,0
1.899999,0.1200013,-1,0
1.919999,0.1000013,-1,0
1.939999,0.08000134,-1,0
1.959999,0.06000134,-1,0
1.979999,0.04000134,-1,0
1.999999,0.02000134,-1,0
2.019999,1.341105E-06,-1,0
2.039999,-0.01999866,-1,0.01999866
2.059999,-0.03999066,-0.9996001,0.03999066
2.079999,-0.05996666,-0.9988002,0.05996666
2.099999,-0.07991868,-0.9976009,0.07991868
2.119999,-0.09983873,-0.9960026,0.09983873
2.139999,-0.1197188,-0.9940058,0.1197188
2.159999,-0.1395511,-0.9916114,0.1395511
2.179999,-0.1593275,-0.9888204,0.1593275
2.199999,-0.1790401,-0.9856339,0.1790401
2.219999,-0.1986812,-0.982053,0.1986812
2.239999,-0.2182428,-0.9780794,0.2182428
2.259999,-0.2377171,-0.9737146,0.2377171
2.279999,-0.2570963,-0.9689602,0.2570963
2.299999,-0.2763727,-0.9638183,0.2763727
2.319999,-0.2955385,-0.9582909,0.2955385
2.339998,-0.3145861,-0.9523801,0.3145861
2.359998,-0.3335078,-0.9460884,0.3335078
2.379998,-0.3522962,-0.9394182,0.3522962
2.399998,-0.3709436,-0.9323723,0.3709436
2.419998,-0.3894427,-0.9249534,0.3894427
2.439998,-0.407786,-0.9171646,0.407786
2.459998,-0.4259662,-0.9090089,0.4259662
2.479998,-0.443976,-0.9004895,0.443976
2.499998,-0.4618082,-0.89161,0.4618082
2.519998,-0.4794556,-0.8823738,0.4794556
2.539998,-0.4969113,-0.8727847,0.4969113
2.559998,-0.5141683,-0.8628464,0.5141683
2.579998,-0.5312195,-0.8525631,0.5312195
2.599998,-0.5480583,-0.8419387,0.5480583
2.619998,-0.5646779,-0.8309775,0.5646779
2.639998,-0.5810716,-0.819684,0.5810716
2.659998,-0.5972328,-0.8080626,0.5972328
2.679998,-0.6131552,-0.7961179,0.6131552
2.699998,-0.6288323,-0.7838548,0.6288323
2.719998,-0.6442578,-0.7712781,0.6442578
2.739998,-0.6594257,-0.758393,0.6594257
2.759998,-0.6743298,-0.7452044,0.6743298
2.779998,-0.6889641,-0.7317178,0.6889641
2.799998,-0.7033229,-0.7179385,0.7033229
2.819998,-0.7174003,-0.7038721,0.7174003
2.839998,-0.7311908,-0.6895241,0.7311908
2.859998,-0.7446888,-0.6749002,0.7446888
2.879998,-0.7578889,-0.6600065,0.7578889
2.899998,-0.7707859,-0.6448487,0.7707859
2.919998,-0.7833745,-0.629433,0.7833745
2.939998,-0.7956499,-0.6137655,0.7956499
2.959998,-0.8076069,-0.5978525,0.8076069
2.979998,-0.8192409,-0.5817003,0.8192409
2.999998,-0.8305472,-0.5653155,0.8305472
3.019998,-0.8415213,-0.5487046,0.8415213
3.039998,-0.8521588,-0.5318741,0.8521588
3.059998,-0.8624554,-0.5148309,0.8624554
3.079998,-0.8724071,-0.4975818,0.8724071
3.099998,-0.8820097,-0.4801337,0.8820097
3.119998,-0.8912596,-0.4624935,0.8912596
3.139998,-0.900153,-0.4446683,0.900153
3.159998,-0.9086863,-0.4266653,0.9086863
3.179998,-0.9168561,-0.4084916,0.9168561
3.199998,-0.9246592,-0.3901544,0.9246592
3.219998,-0.9320924,-0.3716612,0.9320924
3.239998,-0.9391528,-0.3530194,0.9391528
3.259998,-0.9458376,-0.3342363,0.9458376
3.279998,-0.952144,-0.3153196,0.952144
3.299998,-0.9580695,-0.2962767,0.9580695
3.319998,-0.9636118,-0.2771153,0.9636118
3.339998,-0.9687687,-0.257843,0.9687687
3.359998,-0.973538,-0.2384677,0.973538
3.379997,-0.9779179,-0.2189969,0.9779179
3.399997,-0.9819067,-0.1994386,0.9819067
3.419997,-0.9855027,-0.1798004,0.9855027
3.439997,-0.9887044,-0.1600904,0.9887044
3.459997,-0.9915107,-0.1403163,0.9915107
3.479997,-0.9939204,-0.1204861,0.9939204
3.499997,-0.9959326,-0.1006077,0.9959326
3.519997,-0.9975464,-0.08068901,0.9975464
3.539997,-0.9987611,-0.06073808,0.9987611
3.559997,-0.9995764,-0.04076286,0.9995764
3.579997,-0.9999918,-0.02077133,0.9999918
3.599997,-1.000007,-0.0007714927,1.000007
3.619997,-0.9996227,0.01922865,0.9996227
3.639997,-0.9988383,0.03922111,0.9988383
3.659997,-0.9976543,0.05919787,0.9976543
3.679997,-0.9960713,0.07915096,0.9960713
3.699997,-0.9940898,0.09907238,0.9940898
3.719997,-0.9917108,0.1189542,0.9917108
3.739997,-0.988935,0.1387884,0.988935
3.759997,-0.9857637,0.1585671,0.9857637
3.779997,-0.982198,0.1782824,0.982198
3.799997,-0.9782395,0.1979263,0.9782395
3.819997,-0.9738896,0.2174911,0.9738896
3.839997,-0.9691502,0.2369689,0.9691502
3.859997,-0.9640232,0.2563519,0.9640232
3.879997,-0.9585106,0.2756324,0.9585106
3.899997,-0.9526145,0.2948026,0.9526145
3.919997,-0.9463375,0.3138549,0.9463375
3.939997,-0.9396818,0.3327817,0.9396818
3.959997,-0.9326503,0.3515753,0.9326503
3.979997,-0.9252458,0.3702283,0.9252458
3.999997,-0.9174711,0.3887332,0.9174711
4.019997,-0.9093295,0.4070826,0.9093295
4.039997,-0.9008241,0.4252692,0.9008241
4.059997,-0.8919584,0.4432857,0.8919584
4.079997,-0.8827358,0.4611249,0.8827358
4.099997,-0.8731602,0.4787796,0.8731602
4.119997,-0.8632354,0.4962428,0.8632354
4.139997,-0.8529652,0.5135075,0.8529652
4.159997,-0.8423539,0.5305669,0.8423539
4.179997,-0.8314056,0.5474139,0.8314056
4.199997,-0.8201247,0.564042,0.8201247
4.219997,-0.8085158,0.5804445,0.8085158
4.239997,-0.7965835,0.5966148,0.7965835
4.259997,-0.7843326,0.6125465,0.7843326
4.279997,-0.771768,0.6282331,0.771768
4.299997,-0.7588946,0.6436685,0.7588946
4.319997,-0.7457177,0.6588464,0.7457177
4.339997,-0.7322425,0.6737607,0.7322425
4.359997,-0.7184743,0.6884056,0.7184743
4.379997,-0.7044188,0.7027751,0.7044188
4.399997,-0.6900816,0.7168635,0.6900816
4.419997,-0.6754683,0.7306651,0.6754683
4.439997,-0.6605847,0.7441745,0.6605847
4.459997,-0.645437,0.7573861,0.645437
4.479997,-0.6300311,0.7702949,0.6300311
4.499997,-0.6143732,0.7828955,0.6143732
4.519997,-0.5984696,0.7951829,0.5984696
4.539997,-0.5823265,0.8071523,0.5823265
